cve_municipio,cve_region,nombre_municipio
381,4,SANTA CRUZ TACACHE DE MINA
382,4,SANTA CRUZ TACAHUA
383,4,SANTA CRUZ TAYATA
384,7,SANTA CRUZ XITLA
385,8,SANTA CRUZ XOXOCOTLÁN
386,7,SANTA CRUZ ZENZONTEPEC
387,8,SANTA GERTRUDIS
388,8,SANTA INÉS DEL MONTE
389,8,SANTA INÉS YATZECHE
390,8,SANTA LUCÍA DEL CAMINO
391,7,SANTA LUCÍA MIAHUATLÁN
392,7,SANTA LUCÍA MONTEVERDE
393,8,SANTA LUCÍA OCOTLÁN
394,6,SANTA MARÍA ALOTEPEC
395,4,SANTA MARÍA APAZCO
396,1,SANTA MARÍA LA ASUNCIÓN
397,4,HEROICA CIUDAD DE TLAXIACO
398,8,AYOQUEZCO DE ALDAMA
399,8,SANTA MARÍA ATZOMPA
400,4,SANTA MARÍA CAMOTLÁN
401,2,SANTA MARÍA COLOTEPEC
402,2,SANTA MARÍA CORTIJO
403,8,SANTA MARÍA COYOTEPEC
404,4,SANTA MARÍA CHACHOÁPAM
405,4,VILLA DE CHILAPA DE DÍAZ
406,1,SANTA MARÍA CHILCHOTLA
407,3,SANTA MARÍA CHIMALAPA
408,4,SANTA MARÍA DEL ROSARIO
409,8,SANTA MARÍA DEL TULE
410,7,SANTA MARÍA ECATEPEC
411,8,SANTA MARÍA GUELACÉ
412,3,SANTA MARÍA GUIENAGATI
413,2,SANTA MARÍA HUATULCO
414,2,SANTA MARÍA HUAZOLOTITLÁN
415,7,SANTA MARÍA IPALAPA
416,1,SANTA MARÍA IXCATLÁN
417,5,SANTA MARÍA JACATEPEC
418,3,SANTA MARÍA JALAPA DEL MARQUÉS
419,6,SANTA MARÍA JALTIANGUIS
420,7,SANTA MARÍA LACHIXÍO
421,3,SANTA MARÍA MIXTEQUILLA
422,4,SANTA MARÍA NATIVITAS
423,4,SANTA MARÍA NDUAYACO
424,7,SANTA MARÍA OZOLOTEPEC
425,1,SANTA MARÍA PÁPALO
426,8,SANTA MARÍA PEÑOLES
427,3,SANTA MARÍA PETAPA
428,7,SANTA MARÍA QUIEGOLANI
429,7,SANTA MARÍA SOLA
430,4,SANTA MARÍA TATALTEPEC
431,1,SANTA MARÍA TECOMAVACA
432,7,SANTA MARÍA TEMAXCALAPA
433,2,SANTA MARÍA TEMAXCALTEPEC
434,1,SANTA MARÍA TEOPOXCO
435,6,SANTA MARÍA TEPANTLALI
436,1,SANTA MARÍA TEXCATITLÁN
437,6,SANTA MARÍA TLAHUITOLTEPEC
438,1,SANTA MARÍA TLALIXTAC
439,2,SANTA MARÍA TONAMECA
440,3,SANTA MARÍA TOTOLAPILLA
441,3,SANTA MARÍA XADANI
442,7,SANTA MARÍA YALINA
443,6,SANTA MARÍA YAVESÍA
444,4,SANTA MARÍA YOLOTEPEC
445,4,SANTA MARÍA YOSOYÚA
446,4,SANTA MARÍA YUCUHITI
447,7,SANTA MARÍA ZACATEPEC
448,7,SANTA MARÍA ZANIZA
449,8,SANTA MARÍA ZOQUITLÁN
450,7,SANTIAGO AMOLTEPEC
451,4,SANTIAGO APOALA
452,8,SANTIAGO APÓSTOL
453,3,SANTIAGO ASTATA
454,6,SANTIAGO ATITLÁN
455,4,SANTIAGO AYUQUILILLA
456,4,SANTIAGO CACALOXTEPEC
457,7,SANTIAGO CAMOTLÁN
458,6,SANTIAGO COMALTEPEC
459,4,SANTIAGO CHAZUMBA
460,5,SANTIAGO CHOÁPAM
461,4,SANTIAGO DEL RÍO
462,4,SANTIAGO HUAJOLOTITLÁN
463,4,SANTIAGO HUAUCLILLA
464,4,SANTIAGO IHUITLÁN PLUMAS
465,6,SANTIAGO IXCUINTEPEC
466,2,SANTIAGO IXTAYUTLA
467,2,SANTIAGO JAMILTEPEC
468,5,SANTIAGO JOCOTEPEC
469,4,SANTIAGO JUXTLAHUACA
470,3,SANTIAGO LACHIGUIRI
471,7,SANTIAGO LALOPA
472,3,SANTIAGO LAOLLAGA
473,6,SANTIAGO LAXOPA
474,2,SANTIAGO LLANO GRANDE
475,8,SANTIAGO MATATLÁN
476,4,SANTIAGO MILTEPEC
477,7,SANTIAGO MINAS
478,1,SANTIAGO NACALTEPEC
479,4,SANTIAGO NEJAPILLA
480,4,SANTIAGO NUNDICHE
481,4,SANTIAGO NUYOÓ
482,2,SANTIAGO PINOTEPA NACIONAL
483,8,SANTIAGO SUCHILQUITONGO
484,4,SANTIAGO TAMAZOLA
485,2,SANTIAGO TAPEXTLA
486,4,VILLA TEJÚPAM DE LA UNIÓN
487,8,SANTIAGO TENANGO
488,4,SANTIAGO TEPETLAPA
489,2,SANTIAGO TETEPEC
490,1,SANTIAGO TEXCALCINGO
491,7,SANTIAGO TEXTITLÁN
492,4,SANTIAGO TILANTONGO
493,4,SANTIAGO TILLO
494,8,SANTIAGO TLAZOYALTEPEC
495,7,SANTIAGO XANICA
496,6,SANTIAGO XIACUÍ
497,2,SANTIAGO YAITEPEC
498,5,SANTIAGO YAVEO
499,4,SANTIAGO YOLOMÉCATL
500,4,SANTIAGO YOSONDÚA
501,4,SANTIAGO YUCUYACHI
502,6,SANTIAGO ZACATEPEC
503,7,SANTIAGO ZOOCHILA
